Id;Label;Followers;Gender;BrandSource
_itsblacklipstick_;_itsblacklipstick_;0;unknown;JnJBrand
_itsbobbiesworld;_itsbobbiesworld;0;unknown;OtherBrand
_itsglowtime_;_itsglowtime_;0;unknown;OtherBrand
_itzel_goddess;_itzel_goddess;29426;unknown;OtherBrand
_ivvaaanx3;_ivvaaanx3;0;unknown;OtherBrand
_izaguirreanahi;_izaguirreanahi;0;unknown;JnJBrand
_jakesteelee;_jakesteelee;0;unknown;OtherBrand
_jamirae;_jamirae;277;unknown;OtherBrand
_jessicaivone;_jessicaivone;1022;unknown;OtherBrand
_jessinasophia;_jessinasophia;37;unknown;OtherBrand
_jesstoussaint;_jesstoussaint;0;unknown;OtherBrand
_jewelsg;_jewelsg;43329;unknown;OtherBrand
_joanh;_joanh;0;unknown;OtherBrand
_junkie2beauty_;_junkie2beauty_;890;unknown;JnJBrand
_k.iman_;_k.iman_;1011;unknown;JnJBrand
_kajal.karmakar_;_kajal.karmakar_;0;unknown;JnJBrand
_kaysfx;_kaysfx;6032;unknown;OtherBrand
_kbeauty_corner_;_kbeauty_corner_;0;unknown;JnJBrand
_kc_stone_;_kc_stone_;0;unknown;JnJBrand
_kellyblogsalot;_kellyblogsalot;70;unknown;JnJBrand
_kitty_p_2_g_;_kitty_p_2_g_;0;unknown;OtherBrand
_knowher;_knowher;0;unknown;OtherBrand
_kremiki_;_kremiki_;0;unknown;OtherBrand
_krisssmua;_krisssmua;128;unknown;JnJBrand
_kristinashl3y;_kristinashl3y;0;unknown;OtherBrand
_la.rodriguez5290;_la.rodriguez5290;0;unknown;JnJBrand
_ladychloejane;_ladychloejane;7900;unknown;OtherBrand
_laladedah_;_laladedah_;9600;unknown;OtherBrand
_lataycha;_lataycha;575;unknown;OtherBrand
_laurelkyla;_laurelkyla;0;unknown;JnJBrand
_lesliejocelyn;_lesliejocelyn;4;unknown;JnJBrand
_leslieleon_;_leslieleon_;405;unknown;JnJBrand
_lift2fit_;_lift2fit_;0;unknown;OtherBrand
_lisa.ry_;_lisa.ry_;14066;unknown;OtherBrand
_lovelyxerica;_lovelyxerica;71;unknown;OtherBrand
_loveofskin;_loveofskin;0;unknown;OtherBrand
_lu_prates;_lu_prates;2644;unknown;OtherBrand
_lupesmakeup_;_lupesmakeup_;0;unknown;OtherBrand
_m3lani3_b;_m3lani3_b;207;unknown;OtherBrand
_macymartinez;_macymartinez;4509;unknown;JnJBrand
_makeup_by_lindsay_;_makeup_by_lindsay_;42;unknown;JnJBrand
_makeup_mommy_;_makeup_mommy_;0;unknown;JnJBrand
_makeupby_vee;_makeupby_vee;449;unknown;JnJBrand
_makeupbyjessicalyn_;_makeupbyjessicalyn_;1039;unknown;OtherBrand
_marceazul;_marceazul;0;unknown;JnJBrand
_margemadness;_margemadness;0;unknown;OtherBrand
_marshmeg;_marshmeg;55481;unknown;OtherBrand
_maryglow;_maryglow;21974;unknown;OtherBrand
_mauriciomerino;_mauriciomerino;134674;unknown;JnJBrand
_miabellaxo;_miabellaxo;0;unknown;OtherBrand
