Source;Target;Type;Weight
fountainof30;drdanabeauty;Directed;1
aquietplace4mom;vaselinebrand;Directed;2
gayasianskincare;origins;Directed;1
mimi.glows;proactiv;Directed;1
verosmakeupve;vichyusa;Directed;1
themissvv_;spalifellc;Directed;1
marinessa207;maylindstromskin;Directed;1
chloemichellemakeup;josiemarancosmetic;Directed;1
theyoungmama_;vichyusa;Directed;1
soloartists;adveket;Directed;8
jeronetheplug;djxdawn;Directed;1
whitneymegan;barber_kyleehowell;Directed;1
m.s.makeup;toofaced;Directed;25
valerievonprisk;canalandbowery;Directed;2
aceinfacestudio;vivahjewellery;Directed;1
fuzzydelusions;livecleanusa;Directed;1
dianamarksofficial;dermalogica;Directed;3
makeupby_kelly;dermalogica;Directed;1
nauticalnadine;lesalonla;Directed;1
kisskissnmakeup;tartecosmetics;Directed;1
bouuntty;lorealskin;Directed;1
angeeegonz;yonkausa;Directed;1
skinceuticals;szn321;Directed;1
tiffanyleshay;sinfulcolors_official;Directed;1
social.fabric;jadorelexiecouture;Directed;1
drdanabeauty;skincancerinfo;Directed;1
shimycatsmua;labellasocialite;Directed;1
vc.soltours;visitfrance;Directed;1
izzoray;shaleena0x;Directed;1
laura_lily;coppertoneusa;Directed;1
naturalhighmag;mounirabazzi_livingyoga;Directed;1
shayleesmakeupworldxoxo;nyxcosmetics;Directed;11
rosalynnemontoya;benefitcosmetics;Directed;1
ashleyrothbeauty;aveenous;Directed;1
jeanangelx;morphebrushes;Directed;2
rahreviews;ole_henriksen;Directed;1
maskmixbeauty;colourpopcosmetics;Directed;1
makeupmermaid8;stilacosmetics;Directed;1
skinbeautygrace;drunkelephantskincare;Directed;2
itssolyo;dove;Directed;1
elasiia;joyful_heart_foundation;Directed;1
omega_sega;carolsdaughter;Directed;1
bebbiitha;italiacosmeticos;Directed;1
les_presentables;vaselinebrand;Directed;1
clearly.elizabeth;tartecosmetics;Directed;1
satya_linak;gleam_mel;Directed;1
hennabymayra;realduncanhines;Directed;1
olay;anniedurrani;Directed;1
leticialepuff;luneandaster;Directed;1
applypolishhere;neutrogena;Directed;1
james_nicholas_beauty;clinique;Directed;1
tonyamichelle26;coppertoneusa;Directed;1
pocketnbeautybee;nourishtheskin;Directed;1
natalie_dougherty_;vaselinebrand;Directed;1
amazing1972;unileverusa;Directed;1
glowing_skin_med_spa;skinceuticals;Directed;2
frozenmoondust;fiorelli_bags;Directed;1
beauty_unplugged;huxley_korea;Directed;1
dominosandhearts_youtube;aldiaustralia;Directed;1
amzaz_ra;skinceuticals;Directed;1
hinudaa.jaber;bareminerals;Directed;1
stars_by_ess;yslbeauty;Directed;1
ingvanhemert;paparazzimodels;Directed;1
sincitymua;embryolisseusa;Directed;2
sourapplebeautybar;skinceuticals;Directed;1
adayinmotherhood;theholdernessfamily;Directed;1
chantellemarie.mua;perriconemd;Directed;1
beautyobsessedd_;jaclynhill;Directed;1
carolinelissetee;thebalm_cosmetics;Directed;1
jennaaarall;muradskincare;Directed;1
rachel.kayat;maybelline;Directed;3
neutrogena;denise7374;Directed;1
skinfluencemd;womensdermsociety;Directed;1
sparklycheex2;dermalogica;Directed;2
maraiahcrystal;wetnwildbeauty;Directed;1
courtmontes;tartecosmetic;Directed;1
shez_says;vaselinebrand;Directed;1
aceinfacestudio;shoppersdrugmartofficial;Directed;7
drsharimarchbein;reesewitherspoon;Directed;1
ultabeauty;nicolconcilio;Directed;1
michellecrossan_;maiahocando;Directed;1
stephyc_xo;pixibeauty;Directed;1
beautyskinraina;tatcha;Directed;1
brandikirchgessner;thejhf;Directed;1
glammeup;pixibeauty;Directed;1
pinklamb5107;urbandecaycosmetics;Directed;1
missnicolelynn1;krisnations;Directed;1
lindsaylloves;fatmascara;Directed;1
chantellebeauty;dove;Directed;1
moniledesma;dermalogica;Directed;1
stylebloggr;invisiblezincau;Directed;1
kellanmua;ultabeauty;Directed;1
xo_ems;sigmabeauty;Directed;1
drsharimarchbein;wellandgoodnyc;Directed;2
lovely_slay;colourpopcosmetics;Directed;1
xcluskin;dermalogicaturkiye;Directed;1
battle4beauty;neutrogena;Directed;1
makeupbysevani;hisvintagetouch;Directed;1
gabiwanska;nicoleguerriero;Directed;1
makyaj.videolari;maybelline;Directed;1
ksassmakeup;anastasiabeverlyhills;Directed;1
rain_er_naw;jeronetheplug;Directed;1
beeutiful_nikia;wetnwildbeauty;Directed;1
lisa_czech;dove;Directed;1
myskincare_beautyjourney;osmosis_skincare;Directed;6
curvaceousredemption;origins;Directed;1
tjsmakupnlife;dm_trenditup;Directed;1
this.is.marissa;maccosmetics;Directed;2
ashleykaylamakeup;wetnwildbeauty;Directed;1
klarabeautylab;newyorksurgicalarts;Directed;2
themakeupjunkiee;morphebrushes;Directed;1
kathleendreams;bananarama_official;Directed;1
scarlet_shillingford;dove;Directed;4
3tnofficial;hollywoodundead;Directed;1
rosie.schulz;perriconemd;Directed;1
darianjean1;anastasiabeverlyhills;Directed;3
samirae7;aveenous;Directed;1
thebfsocialbasingstoke;dove;Directed;1
satya_linak;thelittlelivv;Directed;6
thelovelylifeofanna;neutrogena;Directed;29
kraussderm;isdinofficial;Directed;2
sashachuapeyzyn;cetaphilus;Directed;1
pinkcandypixie;neutrogena;Directed;1
cathisingh;dermalogica;Directed;1
sallyanndra;herbalessences;Directed;1
shoppersseton;eauthermaleaveneca;Directed;5
beautybudgetcollection;wetnwildbeauty;Directed;1
mishulii;vaselinebrand;Directed;1
bellethequeen;dermalogica;Directed;2
faroutgalaxy;beblogalicious;Directed;1
jules_for_days;schmidtsnaturals;Directed;1
muradskincare;csiesling;Directed;1
lilyroseandluna;superdrugloves;Directed;1
xoxoaamberr;tartecosmetics;Directed;1
georginan88;dermalogica;Directed;1
